shot,description
shot_0016.jpg,A blurry close-up shows a man with aviator sunglasses and a red shirt.
shot_0019.jpg,"A thin, dark, squiggly line appears in the bottom right corner of a light teal frame."
shot_0013.jpg,"A blurry image shows a crowd of people, one of whom is wearing a pink shirt with a small, dark, heart-shaped patch."
shot_0011.jpg,"A low-angle, slightly distorted view of a tall building's facade with numerous windows is presented."
shot_0002.jpg,A grainy image shows a shirtless man and a man wearing glasses and a dark t-shirt with a design.
shot_0014.jpg,"A blurry, slightly overexposed close-up shot shows a group of men, one of whom wears glasses and a patterned tie."
shot_0008.jpg,"A person holds a sign that reads ""OUR GREAT WEAP"" and another reads ""DEVOTEES OF CIVIL RIGHTS."""
shot_0006.jpg,"A blurry, pixelated image shows a person wearing a dark green shirt or jacket with the word ""Military"" visible on the front."
shot_0001.jpg,"A blurry, grainy crowd of people walks down a street in front of a large building with columns."
shot_0018.jpg,"The image is a blank white page with a few small, faint specks."
shot_0012.jpg,"A blurry, grainy shot shows a parade moving down a city street, with spectators lining the sidewalks and teal balloons floating above."
shot_0015.jpg,"A blurry, slightly out-of-focus shot shows people, possibly on bicycles, and one person in the foreground appears to be wearing a large necklace or decorative garment."
shot_0009.jpg,"A partially visible sign reads ""OF CIVIL RIGHTS"" and parts of other signs and a person are also visible."
shot_0010.jpg,"A grainy, low-light photo shows a group of people standing near a banner with text."
shot_0004.jpg,"A blurry image shows a sign that reads ""CAPITALISM IS THE REAL OPPRESSION""."
shot_0005.jpg,"A blurry, grainy image shows a crowd of people near a police car."
shot_0017.jpg,"A blurry image shows two people, one wearing a red shirt and sunglasses, and the other wearing a patterned shirt."
shot_0007.jpg,A crowd of people holds signs and banners at a protest or demonstration.
shot_0000.jpg,"A grainy, discolored image shows a person wearing a light-colored tank top and hat."
shot_0003.jpg,"A crowd of people stands on a city sidewalk, some facing the camera and others facing away."
