shot,shot_type,description
shot_0028.jpg,ambiguous,"A blurry, pink-toned image appears to show a crowd of people, some holding signs or flags."
shot_0036.jpg,detail,"A blank, beige piece of paper fills the frame."
shot_0031.jpg,mediumShot,"A blurry, sepia-toned image shows a group of people, some wearing white hats and shirts with dark, heart-shaped designs."
shot_0041.jpg,ambiguous,"A blurry, dark image shows a person's face and upper body underwater."
shot_0016.jpg,longShot,"A group of people march in the rain carrying a banner that reads ""LESBIAN DAY 1988""."
shot_0029.jpg,longShot,"A crowd of people, many wearing red shirts, stand on a city street looking up at something out of frame."
shot_0045.jpg,longShot,"A blurry video shows people in white costumes, a man in a white shirt, and some colorful balloons at an outdoor event."
shot_0042.jpg,mediumCloseUp,"A blurry, close-up shot of two people's faces, one wearing a white shirt, and a partially visible sign in the background."
shot_0047.jpg,mediumShot,"A blurry, slightly out-of-focus group of people are visible, some facing the viewer and others facing away."
shot_0019.jpg,ambiguous,Orange and pink toned abstract image with lines and faint shapes.
shot_0046.jpg,longShot,A blurry image shows a person playing a guitar amidst a flurry of what appears to be confetti or other airborne material.
shot_0043.jpg,mediumCloseUp,"A blurry, close-up shot of a group of people, some wearing sunglasses."
shot_0013.jpg,mediumCloseUp,"A blurry image shows a person from the shoulders up, looking to the right of the frame, with a dog's face partially visible behind them to the left."
shot_0011.jpg,mediumShot,"A blurry, purple-toned image shows a man in a dark shirt looking at something in a crowd of people."
shot_0002.jpg,mediumShot,"A blurry, slightly overexposed shot shows the back of a person's head and shoulders, with a crowd of people behind them."
shot_0022.jpg,mediumShot,A person wearing a striped shirt holds a yellow piece of paper while another person points at it.
shot_0027.jpg,mediumShot,"A crowd of people march down a city street, some holding signs and banners, and one person uses a megaphone."
shot_0014.jpg,longShot,"A crowd of people is gathered in a park, some facing the camera and some facing away."
shot_0008.jpg,mediumShot,"A person with short, gray hair faces away from the camera, partially obscured by a dark surface, while several other people are visible in the background."
shot_0025.jpg,mediumShot,"A group of people, some wearing hats and sunglasses, are seen outdoors on a sunny day, with one person's arm extended towards the camera."
shot_0006.jpg,mediumCloseUp,"A blurry image shows a group of people, some wearing t-shirts with text, and a woman with a scarf."
shot_0001.jpg,mediumShot,"A group of people, some wearing white shirts with ""20 Harivaar Years"" printed on them, are gathered together."
shot_0024.jpg,mediumShot,"A crowd of people, some wearing hats and sunglasses, are seen in the frame."
shot_0018.jpg,ambiguous,"A blurry, green-tinted image shows a person playing a trumpet into a microphone."
shot_0012.jpg,mediumShot,"A man speaks into a megaphone, surrounded by a blurry crowd of people."
shot_0033.jpg,closeUp,"A slightly speckled, dusty, dark teal surface fills the frame."
shot_0035.jpg,mediumShot,"A man wearing sunglasses reads a newspaper while holding it open with both hands, surrounded by other people and protest signs."
shot_0034.jpg,mediumShot,"A group of people hold a sign that says ""NYC"" at a protest."
shot_0032.jpg,ambiguous,"The image appears to show a textured, dirty surface, possibly a wall or floor, with dark smudges and specks."
shot_0020.jpg,extremeLongShot,"A sepia-toned film clip shows a crowd of people, some wearing hats and holding signs, walking down a city street."
shot_0015.jpg,longShot,"A group of people march in a parade, carrying a large banner that reads ""RIGHTFULLY"" and part of another word, with some holding balloons."
shot_0009.jpg,mediumShot,"A blurry, slightly overexposed shot shows a group of people, some of whom are drinking from white cups."
shot_0037.jpg,ambiguous,"A blurry, grainy image shows people, possibly in a crowd, with one person's bare shoulder and back visible in the foreground."
shot_0038.jpg,mediumShot,"A group of police officers, some facing the camera and others with their backs turned, are seen in a blurry, grainy image."
shot_0010.jpg,mediumShot,"A grainy, slightly faded film image shows the back of a truck, several people in the background, and a person's arm and shoulder in the right foreground."
shot_0004.jpg,mediumShot,"Two figures, one facing away from the camera and wearing a light-colored top, and the other facing sideways and wearing a dark top, are visible in a blurry, dark room."
shot_0005.jpg,mediumCloseUp,Blurry figures stand in front of a wall with symbols on it.
shot_0026.jpg,mediumCloseUp,"A blurry, slightly shaky shot shows a crowd of people, some wearing hats and sunglasses, possibly at a protest or rally."
shot_0017.jpg,longShot,A blurry close-up of a person's head obscures a group of men in white uniforms and red hats.
shot_0040.jpg,detail,A blurry close-up shows a person and some crumpled papers.
shot_0030.jpg,longShot,"A crowd of people, some wearing shorts and t-shirts, stand on a city street, with a police officer visible near the left side of the frame."
shot_0039.jpg,mediumShot,"A group of people, some wearing hats and t-shirts, carry a large, light-colored object."
shot_0007.jpg,detail,"A grainy, dark red surface fills the frame."
shot_0023.jpg,mediumShot,A group of people are standing on a city sidewalk.
shot_0044.jpg,longShot,"A grainy, slightly out-of-focus shot shows people marching in a parade, some carrying signs and flags, with a ""One Way"" street sign in the background."
shot_0021.jpg,mediumShot,"A blurry image shows people, some holding signs and balloons, at what appears to be a march or parade."
shot_0000.jpg,detail,"A Hitachi sign with a scrolling message that reads ""PLEASANT"" is affixed to a brick building."
shot_0003.jpg,ambiguous,"A blurry, discolored image appears on what looks like old film or paper."
